PDF Question,Year,Grade,Decomposition,Pattern Recognition,Abstraction,Modelling & Simulation,Algorithms,Description Text,Question Text,Answer Text,Description Image,Question Image,Answer Image,Correct Answer,A,B,C,D,Notes
Message service,5/6,B,X,,X,,X,Violet wants to send a message to Leo with the help of some beavers and some cards.<br>She breaks the message into groups of; at most; 3 letters on each card. She then gives one card to each beaver. <br>Violet knows that sometimes the beavers get distracted while transporting their cards; and they arrive at different times. Therefore; Violet also numbers the cards in the correct order before giving them to the beavers. Leo must then put then back in order to read the message.,What was the original message that Violet sent to Leo?,The original message was GETHOCKEYSTICKS. This problem is easily solved by putting the cards in the correct order:,Description_Image_49,,Answer_Image_49,GETHOCKEYSTICKS,GETSTICKYSHOCKS,STICKYGETHOOKS,GETHOCKEYSTICKS,KEYCKSHOCGETSTI,
Message service,7/8,A,X,,X,,X,Violet wants to send a message to Leo with the help of some beavers and some cards.<br>She breaks the message into groups of; at most; 3 letters on each card. She then gives one card to each beaver. <br>Violet knows that sometimes the beavers get distracted while transporting their cards; and they arrive at different times. Therefore; Violet also numbers the cards in the correct order before giving them to the beavers. Leo must then put then back in order to read the message.,What was the original message that Violet sent to Leo?,The original message was GETHOCKEYSTICKS. This problem is easily solved by putting the cards in the correct order:,Description_Image_49,,Answer_Image_49,GETHOCKEYSTICKS,GETSTICKYSHOCKS,STICKYGETHOOKS,GETHOCKEYSTICKS,KEYCKSHOCGETSTI,
Five sticks,5/6,C,X,,X,X,X,,Which shape is Bob not able to make?,The answer is D; as it needs more than one stick to be moved.,Description_Image_52,Question_Image_52,,Shape D,Shape A,Shape B,Shape C,Shape D,
News editing,5/6,C,X,,X,,X,There are 10 students working on the school’s newspaper. Every Friday they write or edit their own articles.<br>The red cells; on the plan below; show when the students need a computer. The computers are all the same. During any one hour; only one student at a time can work on a computer.,What is the minimum number of computers needed for all of the students to work according to the plan shown above?,The correct answer is 5. At 09:00 and 10:00; 5 students need a computer – we can’t solve the problem with fewer than 5 computers.,Description_Image_53,,Answer_Image_53,,4,5,6,10,
Roundabout city,5/6,C,X,,X,X,X,In Roundabout City; the navigation software does not give instructions like:<br>• At the next roundabout; take the 4th exit.<br>• At the next roundabout; take the 1st exit.<br>• At the next roundabout; take the 2nd exit.<br>Instead; it gives you a sequence of numbers; like '4 1 2' which would make you go this way:,If we start from A and follow the sequence 3 1 3 2 3; where will we end up?,The exit point will be B.,Description_Image_54,,Answer_Image_54,B,A,B,C,D,
Brackets,7/8,B,X,X,X,,X,,Which of the following bracelets is made with the method described?,The correct bracelet is D because it started with two paired brackets. Between these were placed a pair of other brackets and another pair was placed between the second pair.<br>All other bracelets were not made according to the method described:<br>A. Position 3 is wrong: they placed the right side of ornament 2 before the right side of ornament 1;<br>B. Position 1 is wrong: you start off with a right side of ornament instead of a left side; which is not correct;<br>C. Position 2 is wrong: you see 3 left sides of one ornament and then 3 right sides of another ornament; so there aren’t any pairs used.,Description_Image_55,Question_Image_55,,D,A,B,C,D,
Brackets,9/10,A,X,X,X,,X,,Which of the following bracelets is made with the method described?,The correct bracelet is D because it started with two paired brackets. Between these were placed a pair of other brackets and another pair was placed between the second pair.<br>All other bracelets were not made according to the method described:<br>A. Position 3 is wrong: they placed the right side of ornament 2 before the right side of ornament 1;<br>B. Position 1 is wrong: you start off with a right side of ornament instead of a left side; which is not correct;<br>C. Position 2 is wrong: you see 3 left sides of one ornament and then 3 right sides of another ornament; so there aren’t any pairs used.,Description_Image_55,Question_Image_55,,D,A,B,C,D,
Balls,7/8,B,X,,X,X,X,Numbered balls roll down ramps. The order of the balls changes as they fall into holes. When a ball comes to a hole; if there is enough space; the ball falls in; otherwise; the ball rolls past the hole. A pin at the bottom of each hole can be pulled which ejects the balls.,Which of the following is the final result?,,Description_Image_57,,Question_Image_57.4,Question_Image_57.4,Question_Image_57.1,Question_Image_57.2,Question_Image_57.3,Question_Image_57.4,
Painting wallpaper,5/6,B,X,,X,,X,Robyn is wallpapering. <br>She uses rectangular wallpaper pieces of different sizes. <br>Each wallpaper piece has only one colour with one pattern on it. <br>She never puts wallpaper neyond the edge of the wall. <br> Sometimes; Robyn covers part of one piece of wallpaper with a new rectangular piece of a different colour.,In which order has Robyn placed the wallpaper?,The yellow wallpaper with the briefcases is the only wallpaper that isn’t cut off by another one; so that should be the last one. You can see the suitcase cuts off the basketball wallpaper; the basketball wallpaper cuts off the leaf wallpaper; the leaf wallpaper cuts off the flower wallpaper; the flower wallpaper cuts off the mirrors and the mirrors cut off the hearts.,Description_Image_58,,Question_Image_58.1,Question_Image_58.1,Question_Image_58.1,Question_Image_58.2,Question_Image_58.3,Question_Image_58.4,
Painting wallpaper,7/8,A,X,,X,,X,Robyn is wallpapering. <br>She uses rectangular wallpaper pieces of different sizes. <br>Each wallpaper piece has only one colour with one pattern on it. <br>She never puts wallpaper neyond the edge of the wall. <br> Sometimes; Robyn covers part of one piece of wallpaper with a new rectangular piece of a different colour.,In which order has Robyn placed the wallpaper?,The yellow wallpaper with the briefcases is the only wallpaper that isn’t cut off by another one; so that should be the last one. You can see the suitcase cuts off the basketball wallpaper; the basketball wallpaper cuts off the leaf wallpaper; the leaf wallpaper cuts off the flower wallpaper; the flower wallpaper cuts off the mirrors and the mirrors cut off the hearts.,Description_Image_58,,Question_Image_58.1,Question_Image_58.1,Question_Image_58.1,Question_Image_58.2,Question_Image_58.3,Question_Image_58.4,
Railroad,9/10,A,X,,X,X,X,8 trains (named a to h) enter the switch X1 from the left on the figure below.<br>Train a needs to go to station A; train b to station B; train c to station C; etc.<br>Each of the switches X1 to X7 are initially set to direct trains to the left. After a train has passed a switch; the switch reverts to the other direction.<br>The Railroad Director needs to ensure that all the trains go to their correct stations.,What is the correct order for the trains to pass through switch X1?,The correct order for the trains to pass switch X1 is aecgbfdh. <br> For each switch; let the status 0 mean a turn to the left and status 1 mean turn to the right.<br>The switch X1 changes its status after each train passing by – as is shown in the second column in the table below. Based on the status of X1; exactly one of the switches X2 and X3 changes its status; as shown in the third column (X2 for odd-numbered and X3 for even-numbered trains). And finally exactly one of the switches X4; X5; X6; and X7 changes. <br>In each row of the table we get a three-digit binary number. The numbers correspond to the destinations of the trains (last column of the table).,Description_Image_60,,Answer_Image_60,aecgbfdh,aecgbfdh,adcgbfeh,agcdbfeh,acedfghb,
Commuting,11/12,A,X,,X,,X,Beaver Martina goes to work by train every day. There is no direct line; so Martina has to switch between several lines. The map below shows the available lines; with the travel time between any two stations (Martina's home is marked with “H”; her workplace is marked with “W”; and the stations; where it is possible to change line; are marked with “S”).,Assuming that changing line takes no time; which lines should Martina take in order to arrive at work as fast as possible?,The correct answer is Line 3. The distances for each route are; respectively: 13; 12; 11 and 19 respectively.,Description_Image_61,Question_Image_61,,Line 3,Line 1,Line 2,Line 3,Line 4,
Candy maze,7/8,C,X,,X,,X,A robot is programmed to collect as many sweets as possible. It does this while walking through cells. Each cell in the grid on the right has either 0; 1; 2 or 3 sweets.<br>The robot begins in the bottom-left and ends in the top-right. The robot can only move to the right or upwards.,How many sweets will the robot collect in this grid?,The answer is 14.,Description_Image_62,,,14,10,12,14,16,
Book-sharing club,9/10,A,X,,X,X,X,This diagram shows the relationship between 7 students in a book-sharing club. Their names and ages are also shown.<br>The club has some regulations for members:<br>When you receive a book you read it (if you haven't already done so) and then pass it to the youngest friend who has not read it yet. If; however; all your friends have read the book then you should pass it to the friend who first gave it to you.<br>Now Ben has read a new book and wants to share it with his friends.,Who will read the book last?,The correct answer is Kim. <br>Ben gives to Ted. Ted gives to Anna. Anna gives to Bill. Bill gives to Tom. Tom gives back to Bill. Bill gives back to Anna. Anna gives to Sara. Sara gives back to Anna. Anna gives back to Ted. Ted gives the book to Kim who is the last person to read the book.,Description_Image_63,,Answer_Image_63,Kim,Tom,Sarah,Bill,Kim,
Book-sharing club,11/12,A,X,,X,X,X,This diagram shows the relationship between 7 students in a book-sharing club. Their names and ages are also shown.<br>The club has some regulations for members:<br>When you receive a book you read it (if you haven't already done so) and then pass it to the youngest friend who has not read it yet. If; however; all your friends have read the book then you should pass it to the friend who first gave it to you.<br>Now Ben has read a new book and wants to share it with his friends.,Who will read the book last?,The correct answer is Kim. <br>Ben gives to Ted. Ted gives to Anna. Anna gives to Bill. Bill gives to Tom. Tom gives back to Bill. Bill gives back to Anna. Anna gives to Sara. Sara gives back to Anna. Anna gives back to Ted. Ted gives the book to Kim who is the last person to read the book.,Description_Image_63,,Answer_Image_63,Kim,Tom,Sarah,Bill,Kim,
One too many,9/10,B,X,,X,X,X,I recently discovered a silly mistake I made in a long piece of alphanumeric text.<br>All 1's should be 11's and all 11's should be 1's. Luckily; I can be rather smart and I have an editor which enables me to replace a sequence of characters with another sequence.<br>See what happops in a soptopce in which I replace all occuropces (except the last one) of en with op! Of; wofse; feplacing all occuffences of r (except the last one) with f.,What should I do to fix my text?,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's. <br>In A; after we replace 11's with 1's; we can no longer distinguish between the original 1's which now have to be replaced with 11's; and those 1's that we just made from 11's. In the end; we would have just 11's.<br>In B; we don't only change 1's into 11's; but also 11's into 1111's and then back; so we end up where we started.<br>C will let us end up with only 1s.<br>D works.,,,,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's,Replace all 11's with 1's and then all 1's with 11's,Replace all 1's with 11's and then all 11's with 1's,Replace all 1's with $s and then all $s with 11's and then all 11's with 1's,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's,
One too many,11/12,A,X,,X,X,X,I recently discovered a silly mistake I made in a long piece of alphanumeric text.<br>All 1's should be 11's and all 11's should be 1's. Luckily; I can be rather smart and I have an editor which enables me to replace a sequence of characters with another sequence.<br>See what happops in a soptopce in which I replace all occuropces (except the last one) of en with op! Of; wofse; feplacing all occuffences of r (except the last one) with f.,What should I do to fix my text?,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's. <br>In A; after we replace 11's with 1's; we can no longer distinguish between the original 1's which now have to be replaced with 11's; and those 1's that we just made from 11's. In the end; we would have just 11's.<br>In B; we don't only change 1's into 11's; but also 11's into 1111's and then back; so we end up where we started.<br>C will let us end up with only 1s.<br>D works.,,,,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's,Replace all 11's with 1's and then all 1's with 11's,Replace all 1's with 11's and then all 11's with 1's,Replace all 1's with $s and then all $s with 11's and then all 11's with 1's,Replace all 11's with $s and then all 1's with 11's and then all $s with 1's,
Levenshtein distance,9/10,C,X,,X,,X,We define a basic operation as one of the following:<br>• insert one character into a word;<br>• remove one character from a word;<br>• replace one character with another.<br><br>We define the distance between two words as the minimum number of basic operations which allows us to change the first word into the second.<br>For example; the distance between kitten and sitting is equal to 3. The basic operations necessary are:<br>1. kitten → sitten (change k to s);<br>2. sitten → sittin (change i to e);<br>3. sittin → sitting (insert g at the end).,What is the minimum distance between length and french?,The correct answer is 4.<br>There is one possible solution:<br>1. length → fength (change l to f)<br>2. fength → frength (insert r)<br>3. frength → frencth (change g to c)<br>4. frencth → french (remove t),,,,4,3,4,5,6,
Levenshtein distance,11/12,B,X,,X,,X,We define a basic operation as one of the following:<br>• insert one character into a word;<br>• remove one character from a word;<br>• replace one character with another.<br><br>We define the distance between two words as the minimum number of basic operations which allows us to change the first word into the second.<br>For example; the distance between kitten and sitting is equal to 3. The basic operations necessary are:<br>1. kitten → sitten (change k to s);<br>2. sitten → sittin (change i to e);<br>3. sittin → sitting (insert g at the end).,What is the minimum distance between length and french?,The correct answer is 4.<br>There is one possible solution:<br>1. length → fength (change l to f)<br>2. fength → frength (insert r)<br>3. frength → frencth (change g to c)<br>4. frencth → french (remove t),,,,4,3,4,5,6,
Tunnels of the homestead dam,9/10,C,X,,X,X,X,Homestead Dam has tunnels that connect four rooms: A; B; C; and F. A; B; and C are living rooms. F is where food is stored. (see image)<br>10 beavers are staying in room A; they are becoming hungry and they want to go to room F to eat. Since all the beavers are very hungry; they all want to arrive in the food storage as soon as possible.<br>It takes 1 minute to get through a tunnel and only one beaver may do this at the same time (not several beavers following each other).<br>The connections between the rooms consist of a certain number of tunnels:<br>• Between A and B: 4 tunnels.<br>• Between A and C: 1 tunnel.<br>• Between B and C: 2 tunnels.<br>• Between B and F: 1 tunnel.<br>• Between C and F: 3 tunnels.<br>All the rooms can fit as many of the beavers as want to be there.,In the best case; after how many minutes can all the beavers be in the food storage?,,Description_Image_69,,,4 minutes,4 minutes,6 minutes,7 minutes,9 minutes,
Tunnels of the homestead dam,11/12,B,X,,X,X,X,Homestead Dam has tunnels that connect four rooms: A; B; C; and F. A; B; and C are living rooms. F is where food is stored. (see image)<br>10 beavers are staying in room A; they are becoming hungry and they want to go to room F to eat. Since all the beavers are very hungry; they all want to arrive in the food storage as soon as possible.<br>It takes 1 minute to get through a tunnel and only one beaver may do this at the same time (not several beavers following each other).<br>The connections between the rooms consist of a certain number of tunnels:<br>• Between A and B: 4 tunnels.<br>• Between A and C: 1 tunnel.<br>• Between B and C: 2 tunnels.<br>• Between B and F: 1 tunnel.<br>• Between C and F: 3 tunnels.<br>All the rooms can fit as many of the beavers as want to be there.,In the best case; after how many minutes can all the beavers be in the food storage?,,Description_Image_69,,,4 minutes,4 minutes,6 minutes,7 minutes,9 minutes,
Cost reduction,7/8,C,X,,X,X,X,Beaverland has eight railway stations and five railway lines. The lines are shown in the diagram below; each with a different colour. Note that it is possible to travel from any station to any other station using at most one train transfer. For example; to get from B to H one could follow the purple line from B to F; transfer to the orange line and go to H.<br>Because the railway company wants to reduce costs; they plan to shut down one or more rail lines. They must do this in such a way that all stations stay connected to the railway network and that travelling from any station to any other station can still be done using; at most; one train transfer.,How many railway lines can; at most; be shut down by the railway company?,The correct answer is; at most; 2 lines can be removed (3 lines remain). <br>If you remove the red line (GEDH) and the light blue line (DFC) all conditions are still satisfied. Indeed the lines that remain (BAFC; GEAD and EFH) clearly serve all eight stations and have the additional property that each pair of them has (at least) one station in common. Therefore; you can go from any station to any other with at most one transfer.<br>Would it be possible to remove 3 lines instead of 2? In other words; could all the conditions still be satisfied with using only two lines?<br>The answer is no. Note that the purple line (BAFC) is the only line that serves station B; so it must remain. The other line then must serve the four remaining stations and that leaves red (GEDH) as the only possibility. But these two lines do not have a station in common; and therefore it is; for instance; not possible to travel by train from B to H let alone with; at most; a single transfer. So two lines are not sufficient.,Description_Image_71,,,2,0,1,2,3,
Cost reduction,9/10,B,X,,X,X,X,Beaverland has eight railway stations and five railway lines. The lines are shown in the diagram below; each with a different colour. Note that it is possible to travel from any station to any other station using at most one train transfer. For example; to get from B to H one could follow the purple line from B to F; transfer to the orange line and go to H.<br>Because the railway company wants to reduce costs; they plan to shut down one or more rail lines. They must do this in such a way that all stations stay connected to the railway network and that travelling from any station to any other station can still be done using; at most; one train transfer.,How many railway lines can; at most; be shut down by the railway company?,The correct answer is; at most; 2 lines can be removed (3 lines remain). <br>If you remove the red line (GEDH) and the light blue line (DFC) all conditions are still satisfied. Indeed the lines that remain (BAFC; GEAD and EFH) clearly serve all eight stations and have the additional property that each pair of them has (at least) one station in common. Therefore; you can go from any station to any other with at most one transfer.<br>Would it be possible to remove 3 lines instead of 2? In other words; could all the conditions still be satisfied with using only two lines?<br>The answer is no. Note that the purple line (BAFC) is the only line that serves station B; so it must remain. The other line then must serve the four remaining stations and that leaves red (GEDH) as the only possibility. But these two lines do not have a station in common; and therefore it is; for instance; not possible to travel by train from B to H let alone with; at most; a single transfer. So two lines are not sufficient.,Description_Image_71,,,2,0,1,2,3,
Cost reduction,11/12,B,X,,X,X,X,Beaverland has eight railway stations and five railway lines. The lines are shown in the diagram below; each with a different colour. Note that it is possible to travel from any station to any other station using at most one train transfer. For example; to get from B to H one could follow the purple line from B to F; transfer to the orange line and go to H.<br>Because the railway company wants to reduce costs; they plan to shut down one or more rail lines. They must do this in such a way that all stations stay connected to the railway network and that travelling from any station to any other station can still be done using; at most; one train transfer.,How many railway lines can; at most; be shut down by the railway company?,The correct answer is; at most; 2 lines can be removed (3 lines remain). <br>If you remove the red line (GEDH) and the light blue line (DFC) all conditions are still satisfied. Indeed the lines that remain (BAFC; GEAD and EFH) clearly serve all eight stations and have the additional property that each pair of them has (at least) one station in common. Therefore; you can go from any station to any other with at most one transfer.<br>Would it be possible to remove 3 lines instead of 2? In other words; could all the conditions still be satisfied with using only two lines?<br>The answer is no. Note that the purple line (BAFC) is the only line that serves station B; so it must remain. The other line then must serve the four remaining stations and that leaves red (GEDH) as the only possibility. But these two lines do not have a station in common; and therefore it is; for instance; not possible to travel by train from B to H let alone with; at most; a single transfer. So two lines are not sufficient.,Description_Image_71,,,2,0,1,2,3,
Icon image compression,9/10,C,X,X,X,,X,,Below is the binary digit grid for an 8×8 image. The above compression method is applied to this grid. Which string of digits can represent this image?,The correct answer is D.,Description_Image_74,Question_Image_74,Answer_Image_74,(111(1(1011)11)),(1110),(11(1011)1),(111(1(1101)11)),(111(1(1011)11)),
Icon image compression,11/12,C,X,X,X,,X,,Below is the binary digit grid for an 8×8 image. The above compression method is applied to this grid. Which string of digits can represent this image?,The correct answer is D.,Description_Image_74,Question_Image_74,Answer_Image_74,(111(1(1011)11)),(1110),(11(1011)1),(111(1(1101)11)),(111(1(1011)11)),
Robot,9/10,C,X,,X,X,X,Milan has built a robot that reads coloured squares; changes their colours and moves one square to the left or one square to the right. The robot acts according to rules like these:,What will the squares look like when the robot stops?,,Description_Image_76,,Answer_Image_76,Question_Image_76.1,Question_Image_76.1,Question_Image_76.2,Question_Image_76.3,Question_Image_76.4,
Robot,11/12,C,X,,X,X,X,Milan has built a robot that reads coloured squares; changes their colours and moves one square to the left or one square to the right. The robot acts according to rules like these:,What will the squares look like when the robot stops?,,Description_Image_76,,Answer_Image_76,Question_Image_76.1,Question_Image_76.1,Question_Image_76.2,Question_Image_76.3,Question_Image_76.4,
Funtime school,7/8,C,X,,X,,X,The teachers at Funtime School like to include games in their lessons.<br>At the end of one day; one teacher invites his students to play a game. The winner gets to leave school before the others are dismissed.<br>Rules of the game: The school has one corridor with five doors in a row. The students form a queue and take turns to walk down the corridor. When they get to an open door; they must close it and move to the next door; When they get to a closed door; they must open it; go into the classroom; leave the door open and wait there until the teacher dismisses them.<br>At the start of the game all the doors are closed.<br>If a student finds all the doors are open; after shutting each of them; they can head home for their dinner.,If the students are numbered 1 to 35; which student gets to leave school first?,The 32nd student leaves school first.,,,Answer_Image_78,32nd,3rd,16th,24th,32nd,
Funtime school,11/12,A,X,,X,,X,The teachers at Funtime School like to include games in their lessons.<br>At the end of one day; one teacher invites his students to play a game. The winner gets to leave school before the others are dismissed.<br>Rules of the game: The school has one corridor with five doors in a row. The students form a queue and take turns to walk down the corridor. When they get to an open door; they must close it and move to the next door; When they get to a closed door; they must open it; go into the classroom; leave the door open and wait there until the teacher dismisses them.<br>At the start of the game all the doors are closed.<br>If a student finds all the doors are open; after shutting each of them; they can head home for their dinner.,If the students are numbered 1 to 35; which student gets to leave school first?,The 32nd student leaves school first.,,,Answer_Image_78,32nd,3rd,16th,24th,32nd,
Wash the uniforms,11/12,C,X,,X,,X,All uniforms used at a tomato festival need to be washed using a single washing machine. The washing machine can wash up to three uniforms at the same time during each wash cycle.<br>• The number of hours it takes to wash a single uniform is exactly the same as the number of tomato stains on that uniform.<br>• The number of hours it takes to wash two uniforms at the same time is the same as the number of tomato stains on the dirtier uniform of the two.<br>• The number of hours it takes to wash three uniforms at the same time is the same as the number of tomato stains on the second dirtiest of the three.<br>The following table shows possible examples of a laundry process that takes three hours.,How long does it take to wash the 14 uniforms (shown below) in the quickest way?,The correct answer is 14 hours.,Description_Image_80,Question_Image_80,,14 hours,10 hours,11 hours,14 hours,17 hours,
Downloads,9/10,C,X,,X,X,,When downloading files from a server; the download speed is limited. For example; when 10 files are downloaded simultaneously; the download speed for each file is 10 times slower than it would be for only one file.<br>A user simultaneously downloads three files from a server. The picture below shows the current download state.<br>Note that the time remaining for each file is computed based only on the current speed and does not depend on any history.,How many minutes will it take to download all the files?,The correct answer is 5 minutes.,Description_Image_81,,Answer_Image_81,5 minutes,5 minutes,6 minutes,8 minutes,9 minutes,
Downloads,,C,X,,X,X,,When downloading files from a server; the download speed is limited. For example; when 10 files are downloaded simultaneously; the download speed for each file is 10 times slower than it would be for only one file.<br>A user simultaneously downloads three files from a server. The picture below shows the current download state.<br>Note that the time remaining for each file is computed based only on the current speed and does not depend on any history.,How many minutes will it take to download all the files?,The correct answer is 5 minutes.,Description_Image_81,,Answer_Image_81,5 minutes,5 minutes,6 minutes,8 minutes,9 minutes,
Placeholder 1,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 2,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 3,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 4,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 5,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 6,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 7,3/4,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 8,3/4,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 9,3/4,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 10,5/6,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 11,5/6,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 12,5/6,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 13,5/6,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 14,5/6,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 15,5/6,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 16,5/6,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 17,5/6,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 18,5/6,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 19,7/8,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 20,7/8,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 21,7/8,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 22,7/8,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 23,7/8,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 24,7/8,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 25,7/8,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 26,7/8,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 27,7/8,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 28,9/10,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 29,9/10,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 30,9/10,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 31,9/10,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 32,9/10,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 33,9/10,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 34,9/10,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 35,9/10,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 36,9/10,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 37,11/12,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 38,11/12,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 39,11/12,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 40,11/12,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 41,11/12,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 42,11/12,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 43,11/12,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 44,11/12,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 45,11/12,C,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 46,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 47,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 48,3/4,A,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 3,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 49,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 4,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 50,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 1,Answer 1,Answer 2,Answer 3,Answer 4,
Placeholder 51,3/4,B,X,X,X,X,X,Description text,Question text,Answer text,,,,Answer 2,Answer 1,Answer 2,Answer 3,Answer 4,
